B028;INSERT;--AIR MINUM DALAM KEMASAN (AIR DEMINERAL) MEREK AMIDIS;A158;1
B029;INSERT;--HT SYRUP MINT;D127;5
B029;INSERT;--MULTIBEV BLUE CURACAO SYRUP;D159;30
B029;INSERT;--MOSA SODA CHARGER;D141;120
B030;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;15
B030;INSERT;--HT SYRUP MINT;D127;5
B030;INSERT;--SUNFIELD GREEN APPLE ADE;D158;30
B030;INSERT;--HONEY CITROEN TEA;D164;5
B030;INSERT;--MOSA SODA CHARGER;D141;1
B031;INSERT;--[MENU NO INGREDIENTS];Z000;1
B032;INSERT;--ESPRESSO CAIR;D143;18
B032;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B032;INSERT;--HT Banana Syrup;D176;40
B033;INSERT;--[MENU NO INGREDIENTS];Z000;1
B034;INSERT;--ESPRESSO CAIR;D143;30
B034;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B034;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;30
B034;INSERT;--MOSA SODA CHARGER;D141;1
B035;INSERT;--SPACE Biji Kopi;D177;17
B035;INSERT;--SUSU KENTAL MANIS;D194;45
B036;INSERT;--BEAN MANUAL PREMIUM;D178;17
B037;INSERT;--BEAN MANUAL PREMIUM;D178;17
B038;INSERT;--ESPRESSO CAIR;D143;18
B039;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;30
B039;INSERT;--HT VANILLA SYRUP;D125;2,5
B039;INSERT;--HT MACCHIATO CREME POWDER;D163;5
B040;INSERT;--ESPRESSO CAIR;D143;18
B041;INSERT;--ESPRESSO CAIR;D143;30
B041;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B041;INSERT;--HT GREEN TEA CREME POWDER;D147;30
B042;INSERT;--ESPRESSO CAIR;D143;30
B042;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B042;INSERT;--HT TARO CRÈME POWDER;D311;30
B043;INSERT;--ESPRESSO CAIR;D143;30
B043;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B043;INSERT;--HT DARK CHOCOLATE POWDER;D148;30
B044;INSERT;--LYCHEE POWDER;D165;30
B044;INSERT;--LYCHEE IN SYRUP IKPS;D173;1
B045;INSERT;--[MENU NO INGREDIENTS];Z000;1
B046;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;150
B046;INSERT;--SIMPLE SYRUP;D181;30
B046;INSERT;--ESPRESSO KORI KOHI;D366;18
B047;INSERT;--ESPRESSO CAIR;D143;18
B047;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;130
B048;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;200
B049;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B050;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B050;INSERT;--Teh Hitam Celup Goalpara;D182;15
B051;INSERT;--ESPRESSO CAIR;D143;18
B051;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;200
B051;INSERT;--SIMPLE SYRUP;D181;30
B052;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;100
B053;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;60
B054;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B054;INSERT;--HT FRUIT SYRUP MANGO TANGO;D152;30
B054;INSERT;--MOSA SODA CHARGER;D141;1
B054;INSERT;--YAKULT;D265;1
B055;INSERT;--ESPRESSO CAIR;D143;18
B055;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B055;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B055;INSERT;--HT Syrup Palm Sugar;D138;25
B056;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B056;INSERT;--LYCHEE POWDER;D165;30
B056;INSERT;--HT Creamer Powder;D174;12
B056;INSERT;--LYCHEE IN SYRUP IKPS;D173;1
B057;INSERT;--SUNFIELD GREEN APPLE ADE;D158;30
B057;INSERT;--BOBA LYCHEE;D161;30
B057;INSERT;--SIMPLE SYRUP;D181;15
B057;INSERT;--Teh Hitam Celup Goalpara;D182;100
B058;INSERT;--[MENU NO INGREDIENTS];Z000;1
B059;INSERT;--[MENU NO INGREDIENTS];Z000;1
B060;INSERT;--ESPRESSO CAIR;D143;18
B060;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;50
B060;INSERT;--SIMPLE SYRUP;D181;30
B060;INSERT;--Buah Alpukat;D184;1
B061;INSERT;--ESPRESSO CAIR;D143;18
B061;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B061;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B061;INSERT;--PANDAN KOPI;D189;30
B062;INSERT;--SIMPLE SYRUP;D181;30
B062;INSERT;--BUAH JERUK LEMON;D046;1
B062;INSERT;--Teh Hitam Celup Goalpara;D182;120
B063;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B063;INSERT;--BOBA LYCHEE;D161;30
B063;INSERT;--LYCHEE IN SYRUP IKPS;D173;30
B063;INSERT;--Teh Hitam Celup Goalpara;D182;100
B064;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B064;INSERT;--HT FRUIT SYRUP MANGO TANGO;D152;30
B064;INSERT;--Teh Hitam Celup Goalpara;D182;100
B064;INSERT;--CHEWY BALL MANGO;D192;30
B065;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B065;INSERT;--SIMPLE SYRUP;D181;30
B065;INSERT;--Teh Hitam Celup Goalpara;D182;12
B065;INSERT;--BUAH JERUK LEMON;D046;1
B066;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B066;INSERT;--HT FRUIT SQUASH STRAWBERRY DREAM;D154;20
B066;INSERT;--SYRUP FRUITY;D157;10
B066;INSERT;--HT MACCHIATO CREME POWDER;D163;5
B066;INSERT;--Teh Hitam Celup Goalpara;D182;12
B067;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B067;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;20
B067;INSERT;--SYRUP FRUITY;D157;10
B067;INSERT;--HT MACCHIATO CREME POWDER;D163;5
B067;INSERT;--Teh Hitam Celup Goalpara;D182;12
B068;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B068;INSERT;--HT FRUIT SYRUP MANGO TANGO;D152;20
B068;INSERT;--SYRUP FRUITY;D157;10
B068;INSERT;--HT MACCHIATO CREME POWDER;D163;5
B068;INSERT;--Teh Hitam Celup Goalpara;D182;12
B069;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B069;INSERT;--HT FRUIT SQUASH KIWI DELIGHT;D155;20
B069;INSERT;--SYRUP FRUITY;D157;10
B069;INSERT;--HT MACCHIATO CREME POWDER;D163;5
B069;INSERT;--Teh Hitam Celup Goalpara;D182;12
B070;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B070;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B070;INSERT;--HT GREEN TEA CREME POWDER;D147;10
B070;INSERT;--HT FRUIT SQUASH STRAWBERRY DREAM;D154;20
B071;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B071;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B071;INSERT;--HT GREEN TEA CREME POWDER;D147;10
